station,arrondissement,mm,dd,wday,dur
Boyer / du Mont-Royal,Le Plateau-Mont-Royal,8,7,Monday,11.89470682
Labadie / du Parc,Le Plateau-Mont-Royal,5,26,Friday,13.16070132
Villeneuve / St-Urbain,Le Plateau-Mont-Royal,6,16,Friday,12.167238
Boyer / St-Zotique,Rosemont - La Petite-Patrie,6,1,Thursday,13.30225733
St-André / Rachel,Le Plateau-Mont-Royal,6,26,Monday,9.334737634
de Grosbois / Duchesneau,Mercier - Hochelaga-Maisonneuve,5,18,Thursday,21.83219216
Labadie / du Parc,Le Plateau-Mont-Royal,10,13,Friday,11.92209233
Harvard / de Monkland,Côte-des-Neiges - Notre-Dame-de-Grâce,10,14,Saturday,12.00518958
Marquette / du Mont-Royal,Le Plateau-Mont-Royal,9,7,Thursday,11.06719392
de Mentana / Marie-Anne,Le Plateau-Mont-Royal,5,30,Tuesday,11.08829577
Guizot / St-Denis,Villeray - Saint-Michel - Parc-Extension,10,25,Wednesday,16.1894813
Labadie / du Parc,Le Plateau-Mont-Royal,6,20,Tuesday,11.61841163
Grand Boulevard / de Terrebonne,Côte-des-Neiges - Notre-Dame-de-Grâce,10,8,Sunday,10.80764
Hutchison / Van Horne,Le Plateau-Mont-Royal,8,2,Wednesday,14.35465134
Wolfe / Robin,Ville-Marie,7,13,Thursday,9.627816333
Dorion / Rachel,Le Plateau-Mont-Royal,9,15,Friday,13.78498824
Plessis / Ontario,Ville-Marie,7,1,Saturday,12.45909347
Ste-Catherine / Dezery,Mercier - Hochelaga-Maisonneuve,7,3,Monday,15.06191066
de Chateaubriand / Jarry,Villeray - Saint-Michel - Parc-Extension,8,23,Wednesday,10.86895801
de l'Esplanade / du Mont-Royal,Le Plateau-Mont-Royal,6,21,Wednesday,13.62290689
Labadie / du Parc,Le Plateau-Mont-Royal,8,11,Friday,12.88100017
Boyer / St-Zotique,Rosemont - La Petite-Patrie,5,22,Monday,12.55249811
